,Username,Date,Likes,Content,retweets,replies,id,url,place,hashtags,media,keyword,followers,Tweet
1488,suriyapawanfc,2022-08-27 13:10:42+00:00,11.0,,7.0,0.0,1.5635143430060196e+18,https://twitter.com/suriyapawanfc/status/1563514343006019584,,['MyJANASENA_MyContribution'],,myjanasena_mycontribution,948.0,#MyJANASENA_MyContribution ✊ https://t.co/ITiD1STG3a
1489,MonsterPSPK,2022-08-27 13:10:34+00:00,7.0,,2.0,0.0,1.563514309400879e+18,https://twitter.com/MonsterPSPK/status/1563514309400879108,,['MyJANASENA_MyContribution'],,myjanasena_mycontribution,4352.0,#MyJANASENA_MyContribution https://t.co/9EBlBCqPeF
1490,PSPKHolics,2022-08-27 13:10:30+00:00,182.0,,88.0,0.0,1.563514292338819e+18,https://twitter.com/PSPKHolics/status/1563514292338819075,,['MyJANASENA_MyContribution'],"[Photo(previewUrl='https://pbs.twimg.com/media/FbK39heUIAAoXLw?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbK39heUIAAoXLw?format=jpg&name=large')]",myjanasena_mycontribution,29687.0,"Let us Donate as much as we can🙏🏼

#MyJANASENA_MyContribution https://t.co/rXWQpeddxN"
1491,Srinu_18Virat,2022-08-27 13:10:29+00:00,0.0,,1.0,0.0,1.5635142869282038e+18,https://twitter.com/Srinu_18Virat/status/1563514286928203777,,['MyJANASENA_MyContribution'],,myjanasena_mycontribution,28.0,#MyJANASENA_MyContribution
1492,pspkteja07,2022-08-27 13:10:28+00:00,6.0,,5.0,0.0,1.5635142848813548e+18,https://twitter.com/pspkteja07/status/1563514284881354758,,"['MyJANASENA_MyContribution', 'PawanKalyan']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1563514081591848963/pu/img/HadX7QfpDQ72C3VU.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1563514081591848963/pu/vid/1280x720/TQcn8C81iQkqI9kG.mp4?tag=12', bitrate=2176000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1563514081591848963/pu/vid/480x270/btnzxlduhQISIajl.mp4?tag=12', bitrate=256000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1563514081591848963/pu/vid/640x360/1dB4zPEKHMgSUdTH.mp4?tag=12', bitrate=832000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1563514081591848963/pu/pl/djHzITG3poc2Z3pj.m3u8?tag=12&container=fmp4&v=ce3', bitrate=None)], duration=31.833, views=61)]",myjanasena_mycontribution,481.0,"""నా సేన కోసం... నా వంతు"" ✊🏻

ప్రజలకు అండగా ఉండే జనసేన కోసం మన వంతు బాధ్యతగా విరాళాలు అందించే కార్యక్రమమే 'నా సేన కోసం - నా వంతు'.

Donate For JanaSena, Donate For a Better Society  🙌🏻

👉🏻 https://t.co/es9mdOjbYd
👉🏻 7288040505

#MyJANASENA_MyContribution 
#PawanKalyan https://t.co/wgZh18hnQN"
1493,phani_pawanist,2022-08-27 13:10:26+00:00,0.0,,0.0,0.0,1.5635142766353818e+18,https://twitter.com/phani_pawanist/status/1563514276635381760,,['MyJANASENA_MyContribution'],,myjanasena_mycontribution,222.0,"@gitampawanism @JanaSenaParty @PawanKalyan 👉 #MyJANASENA_MyContribution
@PawanKalyan
@JanaSenaParty"
1494,sai_karthik_200,2022-08-27 13:10:21+00:00,1.0,,1.0,0.0,1.5635142560371507e+18,https://twitter.com/sai_karthik_200/status/1563514256037150721,,"['MyJANASENA_MyContribution', 'PawanakalyanBdayCDP']","[Photo(previewUrl='https://pbs.twimg.com/media/FbK37cUaMAgp-RJ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbK37cUaMAgp-RJ?format=jpg&name=large')]",myjanasena_mycontribution,45.0,"#MyJANASENA_MyContribution 
#PawanakalyanBdayCDP @PawanKalyan https://t.co/uY4svNRLIW"
1495,phani_pawanist,2022-08-27 13:10:18+00:00,1.0,,1.0,0.0,1.5635142416548823e+18,https://twitter.com/phani_pawanist/status/1563514241654882305,,['MyJANASENA_MyContribution'],,myjanasena_mycontribution,222.0,"👉 #MyJANASENA_MyContribution
@PawanKalyan
@JanaSenaParty https://t.co/9tz5E9jFHT"
1496,pawankalyansep0,2022-08-27 13:10:12+00:00,0.0,,0.0,0.0,1.563514217465987e+18,https://twitter.com/pawankalyansep0/status/1563514217465987073,,['MyJANASENA_MyContribution'],,myjanasena_mycontribution,154.0,"Sep 2 Of course will do..
 #MyJANASENA_MyContribution"
1497,akuthosa,2022-08-27 13:10:11+00:00,1.0,,2.0,0.0,1.5635142137963151e+18,https://twitter.com/akuthosa/status/1563514213796315139,,['MyJANASENA_MyContribution'],"[Photo(previewUrl='https://pbs.twimg.com/media/FbK34vWacAEa7Eo?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbK34vWacAEa7Eo?format=jpg&name=large')]",myjanasena_mycontribution,2373.0,"Jana sena for better society
Donation Link : https://t.co/ZDx6dG1yhJ
@PawanKalyan @JanaSenaParty
Donate for better society 
#MyJANASENA_MyContribution https://t.co/SA68F0YV9o"
1498,follower_pkjs,2022-08-27 13:10:08+00:00,0.0,,0.0,0.0,1.5635141990742958e+18,https://twitter.com/follower_pkjs/status/1563514199074295809,,['MyJANASENA_MyContribution'],,myjanasena_mycontribution,987.0,#MyJANASENA_MyContribution
1499,TeamTWTPSPK,2022-08-27 13:10:06+00:00,16.0,,20.0,0.0,1.5635141900103967e+18,https://twitter.com/TeamTWTPSPK/status/1563514190010396672,,['MyJANASENA_MyContribution'],,myjanasena_mycontribution,2140.0,"Every One Be A Part Of It 🙏

#MyJANASENA_MyContribution"
1500,Girijanasena1,2022-08-27 13:09:59+00:00,2.0,,2.0,1.0,1.563514162982318e+18,https://twitter.com/Girijanasena1/status/1563514162982318081,,"['Jalsa4K', 'Pawanakalyan', 'Janasena', 'janasenaparty', 'MyJANASENA_MyContribution']","[Photo(previewUrl='https://pbs.twimg.com/media/FbK31myaMAAdFhd?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbK31myaMAAdFhd?format=jpg&name=large')]",myjanasena_mycontribution,368.0,"""నా సేన కోసం... నా వంతు"" - ప్రజలకు అండగా ఉండే జనసేన కోసం..
ప్రతి ఒక్క జనసైనిడి భాద్యత
@JanaSenaParty @PawanKalyan #Jalsa4K #Pawanakalyan #Janasena
#janasenaparty #MyJANASENA_MyContribution https://t.co/7voDnLvhft"
1501,JSPKFCKonasema,2022-08-27 13:09:55+00:00,0.0,,0.0,0.0,1.5635141454207672e+18,https://twitter.com/JSPKFCKonasema/status/1563514145420767234,,['MyJANASENA_MyContribution'],,myjanasena_mycontribution,191.0,"@gitampawanism @JanaSenaParty @PawanKalyan 👉 #MyJANASENA_MyContribution
@PawanKalyan
@JanaSenaParty"
1502,Kalyanchaitany2,2022-08-27 13:09:54+00:00,0.0,,3.0,0.0,1.5635141393977344e+18,https://twitter.com/Kalyanchaitany2/status/1563514139397734406,,['MyJANASENA_MyContribution'],,myjanasena_mycontribution,281.0,"For My Kalyan
For My Society 

#MyJANASENA_MyContribution"
1503,JSPKFCKonasema,2022-08-27 13:09:50+00:00,0.0,,0.0,0.0,1.5635141223730545e+18,https://twitter.com/JSPKFCKonasema/status/1563514122373054465,,['MyJANASENA_MyContribution'],,myjanasena_mycontribution,191.0,"👉 #MyJANASENA_MyContribution
@PawanKalyan
@JanaSenaParty https://t.co/vSRwkbGkRh"
1504,ashamed555,2022-08-27 13:09:49+00:00,0.0,,3.0,0.0,1.56351411822071e+18,https://twitter.com/ashamed555/status/1563514118220709892,,['MyJANASENA_MyContribution'],,myjanasena_mycontribution,1794.0,"Sure I will ✊
#MyJANASENA_MyContribution"
1505,PawanismNetwork,2022-08-27 13:09:47+00:00,139.0,,107.0,0.0,1.5635141112791409e+18,https://twitter.com/PawanismNetwork/status/1563514111279140868,,['MyJANASENA_MyContribution'],,myjanasena_mycontribution,158571.0,"జనసేన రైతుభరోస యాత్రలో భాగంగా ఈ 51వ జన్మదిన వేడుకలను కళ్యాణ్ గారికి గుర్తుండిపోయేలా చేయడం కోసం ఎంతో మంది రైతు కుటుంబాలు కోసం మనం @Janasenaparty కి మనవంతు డొనేట్ చేసి కళ్యాణ్ గారికి తోడుగా ఉందాం.

https://t.co/XuwtA2mSeq

7288040505(PhonePe/GPay/PayTM)

#MyJANASENA_MyContribution"
